band_name,name,day,start_at,end_at,location,column,
Joli gris jaune,Joli Gris Jaune - Concert,Vendredi,18h,19h,Église,,
Léo Divary,Léo Divary - Concert,Vendredi,20h30,21h30,Espace Gatignol,,
Duo Artense,Duo Artense - Bal,Vendredi,22h,23h30,Espace Gatignol,,
Gueule,Gueule - Bal,Vendredi,0h,1h30,Espace Gatignol,,
Rosa Combo,Rosa Combo - Bal,Vendredi,20h30,22h15,Salle Michau la Tsabre,,
MCKer6,MCKer6 - Concert,Vendredi,22h30,23h45,Salle Michau la Tsabre,,
Caniar,Caniar - Bal,Vendredi,0h30,2h15,Salle Michau la Tsabre,,
La Machine,La Machine - Bal,Vendredi,21h,23h,Espace Panouillère,,
Roux Matins,Roux Matins - Bal,Vendredi,23h30,1h,Espace Panouillère,,
BOUM!,BOUM! - Collectif ussé inné - Spectacle,Samedi,14h,15h,Village,,
Cie Nepeta,Cie Nepeta - Bal pour enfant,Samedi,15h,16h,Espace Gatignol,,
Roulez Fillettes,Roulez Fillettes - Concert,Samedi,18h,19h,Église,,
BOUM!,BOUM! - Collectif ussé inné - Spectacle,Samedi,19h,20h,Foirail,,
La Jaunée,La Jaunée - Bal,Samedi,20h30,22h,Espace Gatignol,,
Les Réveillés,Les Réveillés - Concert,Samedi,22h30,23h30,Espace Gatignol,,
Duo Planèze,Duo Planèze - Bal,Samedi,0h,1h30,Espace Gatignol,,
D’Arian,D’Arian - Concert,Samedi,20h45,21h45,Salle Michau la Tsabre,,
Le Soleil Ni Même La Lune,Le Soleil Ni Même La Lune - Bal,Samedi,22h15,0h,Salle Michau la Tsabre,,
Mimesis,Mimesis - Bal,Samedi,0h15,2h15,Salle Michau la Tsabre,,
5 à 7²,5 à 7² - Bal,Samedi,20h30,22h30,Espace Panouillère,,
Princesse Miska,Princesse Miska - Bal,Samedi,23h,0h45,Espace Panouillère,,
Tust,Tust - Concert,Samedi,1h,2h15,Espace Panouillère,,
Concerts domestiques,Concerts domestiques,Dimanche,15h30,17h30,Village,,
Sand,Sand - Concert,Dimanche,18h,19h,Église,,
Bougnat Sound,Bougnat Sound - Bal,Dimanche,20h30,22h,Espace Gatignol,,
Alamakstud Härrad,Alamakstud Härrad - Bal,Dimanche,22h30,0h,Espace Gatignol,,
Juliette Minvielle,Juliette Minvielle - Concert,Dimanche,20h30,21h30,Salle Michau la Tsabre,,
Segal,Segal - Bal,Dimanche,22h,23h45,Salle Michau la Tsabre,,
Grain,Grain - Bal,Dimanche,0h15,2h,Salle Michau la Tsabre,,
La Dériveuse,La Dériveuse - Bal,Dimanche,20h30,22h15,Espace Panouillère,,
Triplette,Triplette - Bal,Dimanche,22h45,0h30,Espace Panouillère,,
Pixvae,Pixvae - Concert,Dimanche,1h,2h15,Espace Panouillère,,
Sport,Tournoi de baby-foot junior,Vendredi,15h,16h,Buvette,,
Sport,Tournoi de pétanque,Samedi,11h,14h,Buvette,,
Sport,Match de football mixte,Samedi,17h30,18h,Stade,,
Sport,Tournoi de baby-foot senior,Dimanche,13h,14h,Buvette,,
Cyril Couchoux,Conférence de Cyril Couchoux,Vendredi,16h30,18h,Espace Gatignol,,
,Conférence / Table ronde,Dimanche,15h,16h30,Espace Gatignol,,marion blanchard / evelyn gyrardon / lucie deciaumes -> les chansons trad
